gender,area,qualification,income,marital_status,vintage,claim_amount,num_policies,policy,type_of_policy,cltv
Female,Urban,High School,0.22,1,5,3664.0,More than 1,C,Platinum,63624
Female,Urban,Bachelor,8.15,0,7,6221.0,More than 1,A,Platinum,104580
Male,Urban,Bachelor,1.96,1,2,4130.0,More than 1,A,Platinum,76596
Male,Urban,High School,5.87,1,4,,More than 1,A,Platinum,94608
Female,Urban,Bachelor,9.34,0,7,,More than 1,A,Platinum,66840
Male,Rural,High School,35.59,1,1,5871.0,More than 1,,Silver,109968
Male,Urban,High School,9.05,1,7,2390.0,More than 1,B,Platinum,65628
Female,Urban,Bachelor,0.08,1,5,6830.0,More than 1,B,Silver,192396
Male,Urban,High School,55.46,0,5,5990.0,More than 1,C,Platinum,33492
Male,Urban,Bachelor,3.58,0,4,6156.0,More than 1,A,Silver,167244
Male,Urban,High School,6.77,0,6,4186.0,More than 1,B,Platinum,100668
Male,Urban,High School,6.73,0,5,,More than 1,A,Platinum,66972
Male,Rural,Bachelor,,1,7,0.0,More than 1,A,Silver,50904
Male,Urban,High School,9.4,0,5,4024.0,More than 1,B,Silver,114084
Female,Urban,High School,2.2,1,7,6201.0,More than 1,A,Platinum,66000
Male,Urban,High School,6.27,1,6,4130.0,More than 1,A,Gold,216804
Female,Rural,High School,6.46,0,4,0.0,1,,Silver,56808
Male,Rural,Bachelor,8.49,0,1,2021.0,More than 1,B,Gold,50892
Female,Urban,Bachelor,3.59,0,2,,1,A,Platinum,105000
Male,Urban,Bachelor,4.53,1,1,3583.0,1,A,Platinum,32520
Female,Urban,Bachelor,1.55,0,4,4537.0,More than 1,A,Platinum,111252
Male,Urban,Bachelor,2.63,1,8,6160.0,1,A,Gold,30852
Male,Urban,Bachelor,,1,2,2752.0,More than 1,A,Gold,50832
Male,Rural,High School,55.2,1,6,2339.0,More than 1,A,Gold,115752
Male,Urban,Bachelor,2.16,1,7,6720.0,More than 1,A,Platinum,73716
Female,Urban,High School,0.31,0,2,6151.0,1,,Platinum,114492
Female,Rural,Bachelor,2.05,1,6,3473.0,More than 1,B,Silver,77532
Male,Urban,Bachelor,2.74,0,0,5512.0,1,B,Silver,33816
Female,Rural,High School,8.82,1,5,0.0,1,A,Platinum,38112
Female,Urban,Bachelor,3.15,1,3,4622.0,More than 1,A,Platinum,64284
Male,Urban,High School,9.62,0,4,,More than 1,A,Silver,68604
Male,Rural,Bachelor,7.05,1,2,4898.0,1,A,Silver,50628
Male,Rural,Bachelor,5.26,1,4,2708.0,More than 1,A,Platinum,93456
Male,Rural,Bachelor,7.63,1,6,2371.0,1,B,Silver,36072
Male,Rural,Bachelor,2.27,0,6,0.0,1,B,Platinum,29376
Female,Urban,High School,6.19,0,5,6338.0,More than 1,A,Platinum,102984
Male,Urban,High School,6.11,0,4,3773.0,More than 1,A,Gold,65364
Female,Urban,Bachelor,6.57,0,2,5896.0,More than 1,A,Gold,200400
Male,Urban,High School,9.04,1,2,6113.0,1,A,Platinum,33708
Male,Urban,High School,4.67,1,4,6147.0,More than 1,C,Gold,174936
Female,Urban,Bachelor,3.67,1,1,4280.0,1,A,Platinum,57780
Male,Urban,Bachelor,5.95,0,8,3918.0,More than 1,A,Gold,76008
Male,Urban,High School,8.86,1,3,9167.0,More than 1,A,Platinum,94212
Female,,High School,8.81,0,5,,More than 1,,Platinum,92904
Male,Urban,High School,8.8,1,0,6943.0,More than 1,A,Platinum,54432
Male,Urban,Bachelor,6.01,0,5,8275.0,More than 1,A,Gold,287148
Female,Urban,High School,9.59,1,7,5595.0,More than 1,A,Gold,86424
Male,Rural,High School,5.3,1,2,10140.0,More than 1,C,Platinum,182640
Male,Rural,Bachelor,52.42,1,6,2870.0,1,B,Platinum,30828
Male,,High School,6.49,1,2,8031.0,More than 1,B,Silver,68244
Male,,Bachelor,3.05,1,4,2981.0,More than 1,B,Silver,103200
Female,Urban,Bachelor,2.96,0,5,4415.0,More than 1,A,Gold,161964
Male,Rural,Bachelor,8.19,1,5,0.0,More than 1,C,Silver,210228
Female,Urban,High School,6.63,1,3,3765.0,More than 1,,Platinum,214020
Male,Rural,High School,6.28,0,4,2159.0,More than 1,A,Platinum,103920
Male,Urban,High School,4.19,1,6,4200.0,More than 1,A,Gold,66876
Male,Urban,Bachelor,56.02,0,4,5648.0,More than 1,A,Platinum,119364
Male,Urban,Bachelor,2.24,1,2,3198.0,1,A,Silver,54984
Male,Urban,Bachelor,6.14,0,1,6407.0,More than 1,A,Gold,97032
Male,Rural,Bachelor,9.86,1,7,2870.0,1,A,Platinum,32868
Male,Urban,Bachelor,3.28,1,0,9553.0,More than 1,B,Silver,91584
Female,,High School,5.05,0,6,5450.0,1,B,Silver,38136
Male,Urban,High School,8.18,0,3,2520.0,More than 1,A,Platinum,64980
Female,Rural,Bachelor,4.72,0,6,0.0,More than 1,B,Platinum,66144
Female,Urban,Bachelor,58.2,1,7,0.0,More than 1,A,Silver,65904
Male,Urban,High School,8.16,1,4,5900.0,More than 1,A,Platinum,96324
Male,Urban,Bachelor,8.2,0,4,4275.0,More than 1,A,Gold,57060
Male,Urban,High School,9.75,1,6,2580.0,More than 1,A,Platinum,68388
Male,Urban,High School,2.41,1,0,5757.0,More than 1,A,Platinum,46128
Female,Rural,High School,5.55,0,5,0.0,1,B,Platinum,33684
Female,Urban,Bachelor,4.45,1,2,6592.0,More than 1,B,Silver,94692
Male,Urban,High School,9.91,0,8,4285.0,More than 1,B,Platinum,104844
Female,Urban,High School,4.02,0,6,3260.0,More than 1,B,Platinum,66972
Female,Rural,High School,80.1,0,8,0.0,More than 1,B,Platinum,60600
Male,Urban,High School,6.71,1,4,2903.0,More than 1,A,Platinum,60756
Female,Urban,Bachelor,6.83,1,1,2985.0,More than 1,A,Silver,67128
Female,Urban,Bachelor,7.85,1,4,0.0,More than 1,A,Platinum,73224
Female,Urban,High School,9.34,1,4,2651.0,More than 1,A,Gold,63744
Male,Rural,High School,9.45,1,8,0.0,1,A,Platinum,32796
Female,Rural,High School,20.21,0,0,5473.0,1,A,Silver,34992
Male,Urban,High School,5.33,0,7,5447.0,More than 1,A,Platinum,176256
Male,Urban,High School,6.69,1,7,5521.0,More than 1,A,Platinum,380484
Male,Rural,Bachelor,8.75,1,6,0.0,1,B,Silver,68652
Female,Urban,High School,,0,1,5981.0,More than 1,A,Silver,65604
Male,Urban,Bachelor,8.66,0,1,3993.0,More than 1,A,Gold,63264
Female,Urban,Bachelor,7.21,0,1,4458.0,1,A,Gold,33588
Female,Rural,High School,8.39,1,1,0.0,More than 1,A,Silver,48396
Male,Rural,High School,5.19,1,4,4071.0,More than 1,A,Platinum,105372
Female,Rural,Bachelor,4.31,0,6,6273.0,1,B,Platinum,58308
